0.893969, -0.372693, -0.080522, 0.945002
2.222132, -0.479871, -0.084712, 1.000000
3.407978, -0.580567, -0.091679, 1.000000
4.469285, -0.678141, -0.052131, 1.000000
5.882774, -0.751894, 0.044560, 1.000000
7.035470, -0.700496, 0.283318, 0.702740
7.919083, -0.443231, 0.387276, 0.899065
8.500860, -0.205940, 0.571823, 0.581890
9.001417, 0.116190, 0.763290, 0.459144
9.237517, 0.342075, 0.784172, 0.590895
9.630331, 0.733927, 0.918014, 0.713651
10.017052, 1.239706, 1.104656, 0.600865
10.312705, 1.827346, 1.251909, 0.815416
10.628376, 2.783476, 1.453417, 0.818707
10.768598, 3.972590, 1.628438, 0.812619
10.728515, 4.667195, 1.848807, 0.516361
10.579406, 5.189649, 2.028771, 0.495637
10.395802, 5.562123, 2.243134, 0.402452
10.110228, 5.920855, 2.895289, 0.147315
9.614069, 6.045593, -2.927940, 0.217645
9.179340, 5.951272, -2.579122, 0.234778
8.893903, 5.771334, -2.151791, 0.180655
8.665040, 5.422772, -1.801397, 0.316102
8.531737, 4.984939, -1.866342, 0.528793
8.448683, 4.501228, -1.784585, 0.705648
8.354500, 4.067415, -1.853956, 0.841198
8.098879, 3.188926, -1.888779, 0.901504
7.930762, 2.678167, -1.759816, 0.637832
7.816611, 2.081464, -2.434487, 0.175114
7.406112, 1.730689, -2.986254, 0.226967
6.765196, 1.630321, -3.117736, 0.545583
6.093267, 1.614288, 3.068796, 0.776171
5.413596, 1.663853, 3.113405, 0.966121
3.953436, 1.705023, 3.043591, 1.000000
2.576396, 1.840408, 3.087802, 1.000000
1.319727, 1.908070, 3.140288, 1.000000
0.549191, 1.909075, -3.038054, 1.000000
-0.276694, 1.823257, -2.875207, 0.766747
-1.032090, 1.617132, -2.437240, 0.311250
-1.435060, 1.274705, -1.856834, 0.149290
-1.532359, 0.943871, -1.358653, 0.157860
-1.439366, 0.512119, -0.921101, 0.186611
-1.226445, 0.231858, -0.621869, 0.291573
-0.830883, -0.051655, -0.248122, 0.324481
-0.162756, -0.220919, -0.142651, 0.622239
